"Country","cases","deads","mortality","deadsPER100k","casesPER100k"
"Afghanistan",39870,1479,3.7,3.98,102.42
"Albania",15570,424,2.7,14.79,541.04
"Algeria",53325,1809,3.4,4.28,121.6
"Andorra",2995,57,1.9,74.02,3876.27
"Angola",6488,219,3.4,0.71,19.74
"Antigua and Barbuda",111,3,2.7,3.12,113.35
"Argentina",903730,24186,2.7,54.36,1999.59
"Armenia",56821,1026,1.8,34.76,1917.53
"Australia",27310,899,3.3,3.6,107.1
"Austria",56298,855,1.5,9.66,625.09
"Azerbaijan",42104,609,1.4,6.13,415.26
"Bahamas",5163,108,2.1,28.01,1312.93
"Bahrain",75948,280,0.4,17.84,4463.39
"Bangladesh",379738,5555,1.5,3.44,230.58
"Barbados",208,7,3.4,2.44,72.38
"Belarus",83998,901,1.1,9.5,888.93
"Belgium",165880,10211,6.2,89.4,1431.28
"Belize",2569,37,1.4,9.66,646.08
"Benin",2411,41,1.7,0.36,19.89
"Bolivia",138695,8326,6,73.34,1188.17
"Bosnia and Herzegovina",30837,936,3,28.16,939.92
"Botswana",3515,20,0.6,0.89,149.47
"Brazil",5103408,150689,3,71.94,2400.93
"Brunei",146,3,2.1,0.7,33.37
"Bulgaria",24989,915,3.7,13.03,359.63
"Burkina Faso",2294,63,2.7,0.32,10.97
"Cabo Verde",7155,75,1,13.79,1286.9
"Cameroon",21203,423,2,1.68,79.87
"Canada",185378,9680,5.2,26.12,491.17
"Central African Republic",4854,62,1.3,1.33,100.5
"Chad",1308,92,7,0.59,7.96
"Chile",482832,13376,2.8,71.42,2525.77
"China",90830,4739,5.2,0.34,6.31
"Colombia",919084,27985,3,56.37,1806.27
"Comoros",495,7,1.4,0.84,56.92
"Costa Rica",89223,1108,1.2,22.16,1751.49
"Croatia",20621,327,1.6,8,502.31
"Cuba",6000,123,2.1,1.08,52.97
"Cyprus",2047,25,1.2,2.1,169.54
"Denmark",33304,671,2,11.57,574.98
"Djibouti",5426,61,1.1,6.36,549.19
"Dominican Republic",118843,2179,1.8,20.5,1095.54
"Ecuador",147315,12218,8.3,71.52,834.97
"Egypt",104648,6062,5.8,6.16,102.26
"El Salvador",30196,894,3,13.92,465.54
"Equatorial Guinea",5066,83,1.6,6.34,361.09
"Estonia",3883,68,1.8,5.15,292.72
"Eswatini",5683,113,2,9.95,489.84
"Ethiopia",85136,1301,1.5,1.19,74.05
"Finland",12212,346,2.8,6.27,220.4
"France",776097,32703,4.2,48.82,1188.99
"Gabon",8860,54,0.6,2.55,398.07
"Gambia",3636,118,3.2,5.18,150.46
"Georgia",12272,93,0.8,2.49,307.63
"Germany",332850,9640,2.9,11.62,397.27
"Ghana",47030,308,0.7,1.03,151.35
"Greece",22652,456,2,4.25,217.33
"Guatemala",97826,3387,3.5,19.64,546.04
"Guinea",11062,70,0.6,0.56,84.23
"Guinea-Bissau",2389,41,1.7,2.19,121.39
"Guyana",3521,104,3,13.35,447.65
"Haiti",8882,230,2.6,2.07,77.9
"Honduras",84413,2521,3,26.29,852.26
"Hungary",38837,968,2.5,9.91,402.02
"Iceland",3582,10,0.3,2.83,1049.69
"India",7175880,109856,1.5,8.12,519.99
"Indonesia",336716,11935,3.5,4.46,123.1
"Iran",504281,28816,5.7,35.23,600.38
"Iraq",405437,9912,2.4,25.79,1007.99
"Ireland",43351,1827,4.2,37.64,877.94
"Israel",294031,2021,0.7,22.75,3397.03
"Italy",359569,36205,10.1,59.91,594.7
"Jamaica",7813,146,1.9,4.97,263.85
"Japan",89652,1631,1.8,1.29,70.88
"Jordan",26073,207,0.8,2.08,255.54
"Kazakhstan",108901,1746,1.6,9.55,579.98
"Kenya",41619,777,1.9,1.51,77.4
"Kuwait",111893,664,0.6,16.05,2620.09
"Kyrgyzstan",49528,1090,2.2,17.26,759.14
"Latvia",2765,40,1.4,2.08,146.59
"Lebanon",54624,466,0.9,6.8,800.3
"Lesotho",1805,42,2.3,1.99,84.26
"Liberia",1371,82,6,1.7,27.11
"Libya",43821,644,1.5,9.64,637.74
"Lithuania",6248,103,1.6,3.69,229.51
"Luxembourg",9119,128,1.4,21.06,1456.76
"Madagascar",16726,237,1.4,0.9,60.4
"Malawi",5824,180,3.1,0.99,30.44
"Malaysia",16220,159,1,0.5,50.11
"Maldives",10943,35,0.3,6.79,2024.44
"Mali",3296,132,4,0.69,16.28
"Malta",3844,43,1.1,8.89,870.58
"Mauritania",7554,163,2.2,3.7,162.46
"Mauritius",404,10,2.5,0.79,31.77
"Mexico",821045,83945,10.2,66.52,636.8
"Moldova",62618,1478,2.4,41.68,1552.27
"Montenegro",14050,211,1.5,33.9,2237.03
"Morocco",153761,2636,1.7,7.32,416.58
"Mozambique",10088,72,0.7,0.24,32.28
"Namibia",11989,129,1.1,5.27,471.84
"Nepal",111802,645,0.6,2.3,383.71
"Netherlands",187138,6654,3.6,38.62,1092.15
"New Zealand",1872,25,1.3,0.51,38.82
"Nicaragua",5264,153,2.9,2.37,79.46
"Niger",1202,69,5.7,0.31,4.97
"Nigeria",60430,1115,1.8,0.57,29.32
"North Macedonia",21113,797,3.8,38.26,1013.4
"Norway",15639,276,1.8,5.19,288.48
"Oman",106575,1046,1,21.66,2086.99
"Pakistan",319848,6588,2.1,3.1,144.8
"Panama",120802,2502,2.1,59.9,2799.73
"Papua New Guinea",565,7,1.2,0.08,6.31
"Paraguay",50344,1096,2.2,15.76,705.84
"Peru",851171,33357,3.9,104.28,2581.51
"Philippines",342816,6332,1.8,5.94,312.84
"Poland",130210,3039,2.3,8,344.05
"Portugal",87913,2094,2.4,20.37,862.17
"Qatar",128191,220,0.2,7.91,4449.45
"Romania",157352,5467,3.5,28.07,817.94
