"Country","cases","deads","mortality","deadsPER100k","casesPER100k","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","doctors_density","nursing_density"
"Afghanistan",39870,1479,3.7,3.98,102.42,5.09581863880157,11.7771938443184,75.482577085495,37,3,1992,6636,-4644,-22.1,NA,NA,6.945e+10,20,"20","0",0.28,0.1755
"Albania",15570,424,2.7,14.79,541.04,NA,NA,NA,59,190,3486,3765,-279,-2.1,0.705,0.791,3.601e+10,20,"23","20",NA,NA
"Algeria",53325,1809,3.4,4.28,121.6,65.9546911716461,6.37432187795639,32.5488388538361,78,170,52080,70740,-18660,-10.6,0.604,0.759,6.3e+11,26,"35","19",1.79,2.2228
"Andorra",2995,57,1.9,74.02,3876.27,49.0319937467575,10.3205524384975,41.7770534753799,NA,1981,1872,2060,-322,-6.9,NA,NA,3.327e+09,10,"10","4.5",NA,NA
"Angola",6488,219,3.4,0.71,19.74,46.27865254879,2.79150027781725,34.1210126876831,40,53,35590,44640,-9050,-7.3,0.392,0.574,1.936e+11,30,"17","10",NA,NA
"Antigua and Barbuda",111,3,2.7,3.12,113.35,47.0349878072739,4.53353188931942,34.9848866462708,73,317,296,323,-27,-1.8,NA,NA,2.398e+09,NA,NA,NA,2.96,4.4969
"Argentina",903730,24186,2.7,54.36,1999.59,72.4321186542511,9.12431478500366,15.0185272097588,76,959,123300,161100,-37800,-6.1,0.714,0.83,9.221e+11,30,"35","21",3.99,2.5996
"Armenia",56821,1026,1.8,34.76,1917.53,13.2446691393852,10.3627048432827,84.348076581955,69,54,2536,2910,-374,-3.4,0.685,0.76,2.834e+10,20,"36","20",4.4,6.107
"Australia",27310,899,3.3,3.6,107.1,68.9128518104553,9.20594781637192,18.1521028280258,87,3674,461000,484900,-23900,-1.7,0.862,0.938,1.248e+12,30,"45","10",3.68,12.5508
"Austria",56298,855,1.5,9.66,625.09,72.3925411701202,10.3966169059277,19.2032665014267,79,3944,197800,201900,-4100,-1,0.843,0.914,4.41e+11,25,"55","20",5.17,7.0899
"Azerbaijan",42104,609,1.4,6.13,415.26,15.1073157787323,6.65182918310165,83.8561415672302,65,42,9852,10400,-548,-1.4,0.683,0.754,1.722e+11,20,"25","18",NA,NA
"Bahamas",5163,108,2.1,28.01,1312.93,43.8695639371872,5.75888901948929,30.9824675321579,75,777,2100,2600,-500,-5.5,NA,NA,1.206e+10,0,"0","12",2.01,3.2512
"Bahrain",75948,280,0.4,17.84,4463.39,57.9781413078308,4.74810488522053,30.5521756410599,77,654,5463,9281,-3818,-11.3,NA,NA,7.117e+10,0,"0","5",NA,NA
"Bangladesh",379738,5555,1.5,3.44,230.58,16.693340241909,2.27424874901772,73.8847374916077,48,6,44436,61536,NA,NA,0.465,0.614,6.903e+11,35,"25","15",0.54,0.3163
"Barbados",208,7,3.4,2.44,72.38,44.2008912563324,6.77912682294846,46.3035732507706,77,523,1350,1650,-300,-6.2,0.675,0.813,5.218e+09,5.5,"38","17.5",2.48,3.0189
"Belarus",83998,901,1.1,9.5,888.93,69.9636161327362,5.92578575015068,27.5150001049042,76,240,22800,22540,260,0.5,0.765,0.817,1.794e+11,18,"17","20",NA,NA
"Belgium",165880,10211,6.2,89.4,1431.28,77.2173881530762,10.338669270277,17.6382228732109,84,3636,249700,260000,-10300,-2.1,0.849,0.919,5.292e+11,29.58,"50","21",3.07,18.9734
"Belize",2569,37,1.4,9.66,646.08,67.9763317108154,5.64282275736332,24.1548627614975,64,191,500,550,-50,-2.7,0.558,0.72,3.218e+09,NA,"25","12.5",1.12,185.314
"Benin",2411,41,1.7,0.36,19.89,29.9844712018967,3.71858216822147,44.979926943779,40,9,1372,2261,-889,-9.4,0.327,0.52,2.539e+10,35,"35","18",NA,NA
"Bolivia",138695,8326,6,73.34,1188.17,68.5277044773102,6.44316077232361,25.0778466463089,68,151,15010,17350,-2340,-6.2,0.533,0.703,8.372e+10,29,"25","13",1.59,1.5589
"Bosnia and Herzegovina",30837,936,3,28.16,939.92,70.4874753952026,8.93166735768318,29.1393101215363,61,325,7798,7996,-198,-1.1,0.658,0.769,4.483e+10,10,"10","17",2.16,5.5647
"Botswana",3515,20,0.6,0.89,149.47,75.6595969200134,6.13456815481186,2.99324225634336,61,353,5609,6072,-463,-2.8,NA,NA,3.901e+10,22,"25","12",NA,NA
"Brazil",5103408,150689,3,71.94,2400.93,41.8793767690659,9.46747660636902,27.4554938077927,79,389,618853,779532,-160679,-7.8,0.574,0.761,3.248e+12,34,"27.5","25",2.17,9.737
"Brunei",146,3,2.1,0.7,33.37,94.8233902454376,2.37320773303509,5.17660900950432,81,637,1435,4017,-2582,-21.6,NA,NA,3.387e+10,20,"0",NA,1.61,6.0989
"Bulgaria",24989,915,3.7,13.03,359.63,51.8640756607056,8.09560343623161,46.5525686740875,66,344,19530,20310,-780,-1.4,0.713,0.816,1.535e+11,10,"10","20",NA,NA
